vllm (pretrained=bigscience/bloom-3b,tensor_parallel_size=1,dtype=auto,gpu_memory_utilization=0.9), gen_kwargs: (None), limit: None, num_fewshot: None, batch_size: auto
|       Tasks       |Version|    Filter    |n-shot|  Metric   |   |Value |   |Stderr|
|-------------------|------:|--------------|-----:|-----------|---|-----:|---|-----:|
|mmlu_prox_ja       |      0|custom-extract|      |exact_match|↑  |0.0238|±  |0.0014|
| - biology         |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - business        |      0|custom-extract|     5|exact_match|↑  |0.0596|±  |0.0084|
| - chemistry       |      0|custom-extract|     5|exact_match|↑  |0.0071|±  |0.0025|
| - computer_science|      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - economics       |      0|custom-extract|     5|exact_match|↑  |0.0391|±  |0.0067|
| - engineering     |      0|custom-extract|     5|exact_match|↑  |0.0186|±  |0.0043|
| - health          |      0|custom-extract|     5|exact_match|↑  |0.0655|±  |0.0094|
| - history         |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - law             |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - math            |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - other           |      0|custom-extract|     5|exact_match|↑  |0.0292|±  |0.0055|
| - philosophy      |      0|custom-extract|     5|exact_match|↑  |0.0822|±  |0.0123|
| - physics         |      0|custom-extract|     5|exact_match|↑  |0.0262|±  |0.0044|
| - psychology      |      0|custom-extract|     5|exact_match|↑  |0.0338|±  |0.0064|

|   Groups   |Version|    Filter    |n-shot|  Metric   |   |Value |   |Stderr|
|------------|------:|--------------|------|-----------|---|-----:|---|-----:|
|mmlu_prox_ja|      0|custom-extract|      |exact_match|↑  |0.0238|±  |0.0014|

|       Tasks       |Version|    Filter    |n-shot|  Metric   |   |Value |   |Stderr|
|-------------------|------:|--------------|-----:|-----------|---|-----:|---|-----:|
|mmlu_prox_ko       |      0|custom-extract|      |exact_match|↑  |0.0020|±  |0.0004|
| - biology         |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - business        |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - chemistry       |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - computer_science|      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - economics       |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - engineering     |      0|custom-extract|     5|exact_match|↑  |0.0206|±  |0.0046|
| - health          |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - history         |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - law             |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - math            |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - other           |      0|custom-extract|     5|exact_match|↑  |0.0032|±  |0.0019|
| - philosophy      |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - physics         |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - psychology      |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|

|   Groups   |Version|    Filter    |n-shot|  Metric   |   |Value|   |Stderr|
|------------|------:|--------------|------|-----------|---|----:|---|-----:|
|mmlu_prox_ko|      0|custom-extract|      |exact_match|↑  |0.002|±  |0.0004|

|       Tasks       |Version|    Filter    |n-shot|  Metric   |   |Value |   |Stderr|
|-------------------|------:|--------------|-----:|-----------|---|-----:|---|-----:|
|mmlu_prox_fr       |      0|custom-extract|      |exact_match|↑  |0.0634|±  |0.0022|
| - biology         |      0|custom-extract|     5|exact_match|↑  |0.0279|±  |0.0062|
| - business        |      0|custom-extract|     5|exact_match|↑  |0.0710|±  |0.0091|
| - chemistry       |      0|custom-extract|     5|exact_match|↑  |0.0618|±  |0.0072|
| - computer_science|      0|custom-extract|     5|exact_match|↑  |0.0561|±  |0.0114|
| - economics       |      0|custom-extract|     5|exact_match|↑  |0.0877|±  |0.0097|
| - engineering     |      0|custom-extract|     5|exact_match|↑  |0.0681|±  |0.0081|
| - health          |      0|custom-extract|     5|exact_match|↑  |0.0932|±  |0.0111|
| - history         |      0|custom-extract|     5|exact_match|↑  |0.0000|±  |0.0000|
| - law             |      0|custom-extract|     5|exact_match|↑  |0.0167|±  |0.0041|
| - math            |      0|custom-extract|     5|exact_match|↑  |0.0526|±  |0.0061|
| - other           |      0|custom-extract|     5|exact_match|↑  |0.0660|±  |0.0082|
| - philosophy      |      0|custom-extract|     5|exact_match|↑  |0.1383|±  |0.0155|
| - physics         |      0|custom-extract|     5|exact_match|↑  |0.0708|±  |0.0071|
| - psychology      |      0|custom-extract|     5|exact_match|↑  |0.0802|±  |0.0096|

|   Groups   |Version|    Filter    |n-shot|  Metric   |   |Value |   |Stderr|
|------------|------:|--------------|------|-----------|---|-----:|---|-----:|
|mmlu_prox_fr|      0|custom-extract|      |exact_match|↑  |0.0634|±  |0.0022|

|       Tasks       |Version|    Filter    |n-shot|  Metric   |   |Value |   |Stderr|
|-------------------|------:|--------------|-----:|-----------|---|-----:|---|-----:|
