|       Tasks       |Version|    Filter    |n-shot|  Metric   |   |Value |   |Stderr|
|-------------------|------:|--------------|-----:|-----------|---|-----:|---|-----:|
|mmlu_prox_ja       |      0|custom-extract|      |exact_match|↑  |0.2033|±  |0.0037|
| - biology         |      0|custom-extract|     5|exact_match|↑  |0.2887|±  |0.0169|
| - business        |      0|custom-extract|     5|exact_match|↑  |0.2294|±  |0.0150|
| - chemistry       |      0|custom-extract|     5|exact_match|↑  |0.1564|±  |0.0108|
| - computer_science|      0|custom-extract|     5|exact_match|↑  |0.2707|±  |0.0220|
| - economics       |      0|custom-extract|     5|exact_match|↑  |0.3009|±  |0.0158|
| - engineering     |      0|custom-extract|     5|exact_match|↑  |0.1414|±  |0.0112|
| - health          |      0|custom-extract|     5|exact_match|↑  |0.2038|±  |0.0154|
| - history         |      0|custom-extract|     5|exact_match|↑  |0.2152|±  |0.0211|
| - law             |      0|custom-extract|     5|exact_match|↑  |0.1178|±  |0.0104|
| - math            |      0|custom-extract|     5|exact_match|↑  |0.1828|±  |0.0105|
| - other           |      0|custom-extract|     5|exact_match|↑  |0.2045|±  |0.0133|
| - philosophy      |      0|custom-extract|     5|exact_match|↑  |0.2265|±  |0.0188|
| - physics         |      0|custom-extract|     5|exact_match|↑  |0.1355|±  |0.0095|
| - psychology      |      0|custom-extract|     5|exact_match|↑  |0.3308|±  |0.0167|

|   Groups   |Version|    Filter    |n-shot|  Metric   |   |Value |   |Stderr|
|------------|------:|--------------|------|-----------|---|-----:|---|-----:|
|mmlu_prox_ja|      0|custom-extract|      |exact_match|↑  |0.2033|±  |0.0037|

|       Tasks       |Version|    Filter    |n-shot|  Metric   |   |Value |   |Stderr|
|-------------------|------:|--------------|-----:|-----------|---|-----:|---|-----:|
|mmlu_prox_fr       |      0|custom-extract|      |exact_match|↑  |0.2705|±  |0.0040|
| - biology         |      0|custom-extract|     5|exact_match|↑  |0.4338|±  |0.0185|
