Model,Task,Accuracy
tokyotech-llm/Llama-3-Swallow-8B-v0.1,island effects,0.8181818181818182
tokyotech-llm/Llama-3-Swallow-8B-v0.1,binding,0.6923076923076923
tokyotech-llm/Llama-3-Swallow-8B-v0.1,argument structure,0.8714285714285714
tokyotech-llm/Llama-3-Swallow-8B-v0.1,ellipsis,0.6842105263157895
tokyotech-llm/Llama-3-Swallow-8B-v0.1,verbal agreement,0.6229508196721312
tokyotech-llm/Llama-3-Swallow-8B-v0.1,filler-gap,0.5555555555555556
tokyotech-llm/Llama-3-Swallow-8B-v0.1,morphology,0.8
tokyotech-llm/Llama-3-Swallow-8B-v0.1,nominal structure,0.9565217391304348
tokyotech-llm/Llama-3-Swallow-8B-v0.1,quantifiers,0.7142857142857143
tokyotech-llm/Llama-3-Swallow-8B-v0.1,NPI licensing,0.25
tokyotech-llm/Llama-3-Swallow-8B-v0.1,control/raising,0.5
